Name,Position,NFL_Team,Consensus_Rank,Consensus_Pos_Rank,ESPN_Rank,ESPN_Pos_Rank,ADP,Bye_Week,Depth_Level,Injury_Status,Projection,Tier
Javonte Williams,RB,DAL,43,16,30,15,31.0,14,Starter,Healthy,,5
Josh Jacobs,RB,GB,44,17,22,12,32.0,11,Starter,"Groin — out at least the week of 8/13, DNP preseason Wk1 (legal overhang still unresolved separately)",,5
Terry McLaurin,WR,WAS,45,22,60,23,54.0,7,Starter,Healthy,,5
Joe Burrow,QB,CIN,46,4,73,8,55.0,6,Starter,Healthy,,2
Luther Burden III,WR,CHI,47,23,77,30,56.0,10,Backup,"Groin — OUT for the entire preseason, hopeful for Wk1",,5
Travis Etienne Jr.,RB,NO,48,18,37,18,38.0,8,Starter,Healthy,,5
Davante Adams,WR,LAR,49,24,50,20,49.0,11,Backup,Healthy,,5
Jayden Daniels,QB,WAS,50,5,40,3,62.0,7,Starter,Healthy,,2
DJ Moore,WR,BUF,51,25,72,27,51.0,7,Starter,Healthy,,5
Tyler Warren,TE,IND,52,4,46,4,52.0,13,Starter,Healthy,,3
Mike Evans,WR,SF,53,26,85,35,64.0,8,Starter,Healthy,,6
Jameson Williams,WR,DET,54,27,78,31,59.0,6,Backup,Healthy,,6
D'Andre Swift,RB,CHI,55,19,45,20,47.0,10,Starter,Healthy,,6
Cam Skattebo,RB,NYG,56,20,47,21,36.0,8,Starter,Questionable,,6
Jalen Hurts,QB,PHI,57,6,52,5,63.0,10,Starter,Healthy,,3
Rome Odunze,WR,CHI,58,28,67,25,61.0,10,Starter,Healthy,,6
Christian Watson,WR,GB,59,29,76,29,66.0,11,Starter,Healthy,,6
Bucky Irving,RB,TB,60,21,49,22,45.0,10,Starter,"Healthy — confirmed full-go for camp, shoulder fully healed, no restrictor plates, no ramp-up period, first-team reps (Buccaneers.com/Todd Bowles; BVM Sports, pub 2026-07-22)",,6
David Montgomery,RB,HOU,61,22,62,26,50.0,8,Starter,Healthy,,6
Quinshon Judkins,RB,CLE,62,23,38,19,46.0,11,Starter,Healthy,,6
Parker Washington,WR,JAC,63,30,91,38,72.0,7,Backup,"Healthy — day-to-day w/ undisclosed injury ~8/13-8/22, returned to practice 8/23, no Week 1 concern (News4Jax, pub 2026-08-23)",,6
Caleb Williams,QB,CHI,64,7,105,15,76.0,10,Starter,Healthy,,3
Carnell Tate,WR,TEN,65,31,61,24,71.0,9,Starter,Healthy,,6
Bhayshul Tuten,RB,JAC,66,24,54,23,58.0,7,Starter,Healthy,,6
Marvin Harrison Jr.,WR,ARI,67,32,74,28,73.0,14,Starter,Healthy,,6
TreVeyon Henderson,RB,NE,68,25,66,29,57.0,11,Starter,Healthy,,6
Justin Herbert,QB,LAC,69,8,59,6,86.0,7,Starter,Healthy,,3
Jadarian Price,RB,SEA,70,26,56,25,60.0,11,Starter,Lower-body soreness — missed 5 practices + ruled OUT preseason Wk1 (walk-throughs only),,6
Harold Fannin Jr.,TE,CLE,71,5,53,5,65.0,11,Starter,Healthy — full-go since 7/29 (groin surgery cleared); 9 of 10 first-team snaps preseason Wk1,,3
Jaylen Warren,RB,PIT,72,27,71,31,69.0,9,Starter,Healthy,,7
Chris Godwin Jr.,WR,TB,73,33,102,40,95.0,10,Backup,Healthy,,7
Dak Prescott,QB,DAL,74,9,89,10,74.0,14,Starter,Questionable,,4
Tucker Kraft,TE,GB,75,6,88,9,68.0,11,Starter,"Healthy — first full 11-on-11 since ACL on 8/16 (287 days), on track for Wk1; unlikely to play preseason",,4
Rhamondre Stevenson,RB,NE,76,28,65,28,75.0,11,Backup,Healthy,,7
Trevor Lawrence,QB,JAC,77,10,75,9,84.0,7,Starter,Healthy,,4
DK Metcalf,WR,PIT,78,34,68,26,80.0,9,Starter,Healthy,,7
Brian Thomas Jr.,WR,JAC,79,35,106,43,78.0,7,Starter,Healthy,,7
Michael Pittman Jr.,WR,PIT,80,36,87,37,93.0,9,Backup,Healthy,,7
Kyle Pitts Sr.,TE,ATL,81,7,58,6,67.0,11,Starter,Healthy,,4
Courtland Sutton,WR,DEN,82,37,86,36,77.0,10,Backup,Healthy,,7
Tony Pollard,RB,TEN,83,29,63,27,81.0,9,Starter,Healthy,,7
Sam LaPorta,TE,DET,84,8,82,8,70.0,6,Starter,Healthy,,4
Wan'Dale Robinson,WR,TEN,85,38,79,32,96.0,9,Backup,Healthy,,7
Josh Downs,WR,IND,86,39,104,46,112.0,13,Backup,Healthy,,7
Michael Wilson,WR,ARI,87,40,84,34,85.0,14,Backup,Healthy,,7
Rico Dowdle,RB,PIT,88,30,108,37,79.0,9,Backup,"Nagging injury (unspecified, soft-tissue type) — DNP preseason Wk1 (Dulac)",,7
Jonathon Brooks,RB,CAR,89,31,110,39,82.0,5,Starter,Healthy,,7
Brock Purdy,QB,SF,90,11,96,12,110.0,8,Starter,Healthy,,4
RJ Harvey,RB,DEN,91,32,101,36,83.0,10,Backup,Healthy,,7
Quentin Johnston,WR,LAC,92,41,134,53,108.0,7,Backup,Healthy,,7
Stefon Diggs,WR,WAS,93,42,80,33,103.0,7,Unknown,Healthy,,7
Jaxson Dart,QB,NYG,94,12,70,7,91.0,8,Starter,Healthy,,4
Travis Kelce,TE,KC,95,9,99,12,94.0,5,Starter,Healthy,,4
Chuba Hubbard,RB,CAR,96,33,55,24,88.0,5,Starter,"Hamstring — week-to-week per Canales, team expects Wk1 return",,7
George Kittle,TE,SF,97,10,64,7,90.0,8,Starter,"Active/PUP — right ACHILLES (torn 1/11/26 vs PHI, NOT knee); no activation as of 8/16; 8/30 cutdown binary + Melbourne Wk1 travel",,4
J.K. Dobbins,RB,DEN,98,34,100,35,87.0,10,Starter,"Soft tissue — left practice 8/10, returned 8/11, DNP preseason Wk1",,7
Kenny Gainwell,RB,TB,99,35,69,30,99.0,10,Backup,Healthy,,8
Patrick Mahomes II,QB,KC,100,13,90,11,101.0,5,Starter,"Healthy — full first-team reps in camp, cleared for contact, no injury tag; ‘extremely confident’ for Week 1 vs Denver, DNP preseason by coach's choice not injury (ClutchPoints/Sam McDowell, pub 2026-08-23)",,5
Bo Nix,QB,DEN,101,14,98,14,107.0,10,Starter,Questionable,,5
Alec Pierce,WR,IND,102,43,104,42,92.0,13,Starter,STILL on Active/PUP as of 8/16 (verified vs complete colts.com transaction index) — reserve/PUP at the 8/30 cutdown costs 4+ games,,8
Jakobi Meyers,WR,JAC,103,44,93,39,114.0,7,Rotational,Healthy,,8
Matthew Stafford,QB,LAR,104,15,97,13,89.0,11,Starter,Healthy,,5
Jayden Reed,WR,GB,105,45,135,54,119.0,11,Backup,Healthy,,8
Jordan Addison,WR,MIN,106,46,114,48,105.0,6,Backup,Healthy,,8
Jared Goff,QB,DET,107,16,,,123.0,6,Starter,Healthy,,5
Makai Lemon,WR,PHI,108,47,,,117.0,10,Backup,Healthy,,8
Rachaad White,RB,WAS,109,36,81,32,118.0,7,Backup,"DNP preseason Wk1, NOT on the rested list — reason NOT REPORTED",,8
Blake Corum,RB,LAR,110,37,109,38,102.0,11,Backup,Healthy,,8
Dalton Kincaid,TE,BUF,111,11,,,121.0,7,Starter,Healthy,,5
Aaron Jones Sr.,RB,MIN,112,38,83,33,120.0,6,Backup,Healthy,,8
Kyler Murray,QB,MIN,113,17,128,19,138.0,6,Starter,Healthy,,5
Jacory Croskey-Merritt,RB,WAS,114,39,119,42,109.0,7,Starter,"Questionable — groin injury per insider Ben Standig; working off to the side, hopes to return to practice next week; Rachaad White also missed time recently, both in line as WAS's top-2 RBs health permitting (Draft Sharks/Jared Smola, pub 2026-08-25)",,8
Kyle Monangai,RB,CHI,115,40,95,34,100.0,10,Backup,Healthy,,8
Jake Ferguson,TE,DAL,116,12,92,10,111.0,14,Starter,Healthy,,5
Jordan Mason,RB,MIN,117,41,120,43,104.0,6,Starter,Healthy,,8
Dallas Goedert,TE,PHI,118,13,94,11,113.0,10,Starter,Healthy,,5
Baker Mayfield,QB,TB,119,18,,,135.0,10,Starter,Healthy,,5
Jordan Love,QB,GB,120,19,111,16,146.0,11,Starter,Healthy,,5
Khalil Shakir,WR,BUF,121,48,129,49,140.0,7,Backup,Healthy,,8
KC Concepcion,WR,CLE,122,49,,,127.0,11,Starter,Healthy,,8
Isaiah Likely,TE,NYG,123,14,126,16,106.0,8,Starter,Healthy,,5
Jalen Coker,WR,CAR,124,50,116,45,145.0,5,Backup,Healthy,,8
Tyler Shough,QB,NO,125,20,118,18,148.0,8,Starter,Healthy,,5
Xavier Worthy,WR,KC,126,51,136,55,130.0,5,Backup,"Healthy — sprained (not torn) right shoulder in 8/1 practice, same shoulder as Jan-2026 labrum surgery; DNP into preseason Wk1, returned to practice 8/10, no setback since, active through camp (ClutchPoints, pub 2026-08-04 & 2026-08-23)",,8
Matthew Golden,WR,GB,127,52,103,41,124.0,11,Rotational,Healthy,,8
Romeo Doubs,WR,NE,128,53,113,47,133.0,11,Backup,Healthy,,8
Mark Andrews,TE,BAL,129,15,,,125.0,13,Starter,Healthy,,5
Malik Willis,QB,MIA,130,21,,,167.0,6,Starter,Healthy,,5
Jordyn Tyson,WR,NO,131,54,,,128.0,8,Backup,Questionable,,8
Juwan Johnson,TE,NO,132,16,114,13,153.0,8,Starter,Healthy,,6
Woody Marks,RB,HOU,133,42,140,49,136.0,8,Backup,Healthy,,9
Tyjae Spears,RB,TEN,134,43,113,40,144.0,9,Backup,Healthy,,9
Tyler Allgeier,RB,ARI,135,44,133,46,143.0,14,Starter,Healthy,,9
Deebo Samuel Sr.,WR,SF,136,55,130,50,129.0,8,Unknown,Healthy,,9
Sam Darnold,QB,SEA,137,22,,,185.0,11,Starter,Healthy,,6
Chris Rodriguez Jr.,RB,JAC,138,45,,,141.0,7,Backup,Questionable,,9
C.J. Stroud,QB,HOU,139,23,,,180.0,8,Starter,Healthy,,6
Dylan Sampson,RB,CLE,140,46,,,196.0,11,Backup,Healthy,,9
De'Zhaun Stribling,WR,SF,141,56,107,44,126.0,8,Rotational,Healthy,,9
Daniel Jones,QB,IND,142,24,112,17,176.0,13,Starter,Questionable,,6
Rashid Shaheed,WR,SEA,143,57,,,142.0,11,Backup,Healthy,,9
Denzel Boston,WR,CLE,144,58,,,164.0,11,Starter,Healthy,,9
Keaton Mitchell,RB,LAC,145,47,138,47,157.0,7,Backup,Healthy,,9
Tyrone Tracy Jr.,RB,NYG,146,48,,,147.0,8,Backup,Healthy,,9
Cam Ward,QB,TEN,147,25,,,208.0,9,Starter,Healthy,,6
Zach Charbonnet,RB,SEA,148,49,112,41,137.0,11,Backup,Active/PUP (ACL 1/17/26) — 'ahead of schedule' per PFF 8/15 but still expected to miss the start; NO sourced return date,,9
Alvin Kamara,RB,NO,149,50,122,45,150.0,8,Backup,Healthy,,9
Brenton Strange,TE,JAC,150,17,,,160.0,7,Starter,Healthy,,6
Chig Okonkwo,TE,WAS,151,18,,,178.0,7,Starter,Healthy,,6
Jonah Coleman,RB,DEN,152,51,,,168.0,10,Backup,Healthy,,9
Isiah Pacheco,RB,DET,153,52,121,44,154.0,6,Backup,Grade-1 MCL sprain — expected ready Wk1,,9
Hunter Henry,TE,NE,154,19,115,14,156.0,11,Starter,Healthy,,6
Dalton Schultz,TE,HOU,155,20,117,15,183.0,8,Starter,Healthy,,6
Tre Tucker,WR,LV,156,59,,,179.0,13,Starter,Healthy,,9
Adonai Mitchell,WR,NYJ,157,60,,,230.0,13,Rotational,Healthy,,9
Jerry Jeudy,WR,CLE,158,61,,,177.0,11,Rotational,Questionable,,9
Jauan Jennings,WR,MIN,159,62,,,205.0,6,Rotational,Healthy,,9
Houston Texans,DST,HOU,160,1,143,1,98.0,8,Unknown,Healthy,,1
Bryce Young,QB,CAR,161,26,,,215.0,5,Starter,Healthy,,6
Jalen McMillan,WR,TB,162,63,,,206.0,10,Rotational,Healthy,,9
Tank Bigsby,RB,PHI,163,53,,,170.0,10,Backup,Healthy,,9
Braelon Allen,RB,NYJ,164,54,,,201.0,13,Backup,Healthy,,10
Mike Washington Jr.,RB,LV,165,55,,,155.0,13,Backup,Healthy,,10
Denver Broncos,DST,DEN,166,2,144,2,116.0,10,Unknown,Healthy,,2
Brian Robinson Jr.,RB,ATL,167,56,,,162.0,11,Backup,Healthy,,10
Seattle Seahawks,DST,SEA,168,3,145,3,122.0,11,Unknown,Healthy,,2
Los Angeles Rams,DST,LAR,169,4,146,4,115.0,11,Unknown,Healthy,,2
Tre' Harris,WR,LAC,170,64,,,239.0,7,Rotational,Healthy,,10
T.J. Hockenson,TE,MIN,171,21,,,161.0,6,Starter,Healthy,,7
Omar Cooper Jr.,WR,NYJ,172,65,,,229.0,13,Backup,Healthy,,10
Jacoby Brissett,QB,ARI,173,27,,,252.0,14,Starter,Healthy,,7
MarShawn Lloyd,RB,GB,174,57,,,191.0,11,Backup,Healthy,,10
Dontayvion Wicks,WR,PHI,175,66,,,270.0,10,Rotational,Healthy,,10
Philadelphia Eagles,DST,PHI,176,5,154,9,139.0,10,Unknown,Healthy,,2
Pat Bryant,WR,DEN,177,67,,,255.0,10,Rotational,Healthy,,10
Kayshon Boutte,WR,HOU,178,68,,,233.0,8,Rotational,Healthy,,10
Ryan Flournoy,WR,DAL,179,69,,,249.0,14,Rotational,Healthy,,10
Emmett Johnson,RB,KC,180,58,,,236.0,5,Rotational,Healthy,,10
Malik Washington,WR,MIA,181,70,,,231.0,6,Backup,Healthy,,10
Jalen Nailor,WR,LV,182,71,,,199.0,13,Backup,Healthy,,10
Travis Hunter,WR,JAC,183,72,,,223.0,7,Rotational,Questionable,,10
Brandon Aubrey,K,DAL,184,1,141,1,97.0,14,Starter,Healthy,,1
Pittsburgh Steelers,DST,PIT,185,6,147,5,151.0,9,Unknown,Healthy,,2
New England Patriots,DST,NE,186,7,152,7,152.0,11,Unknown,Healthy,,2
Keenan Allen,WR,IND,187,73,131,51,173.0,13,Unknown,Healthy,,10
Minnesota Vikings,DST,MIN,188,8,153,8,158.0,6,Unknown,Healthy,,2
Sean Tucker,RB,TB,189,59,,,248.0,10,Rotational,Healthy,,10
Jaylin Noel,WR,HOU,190,74,,,253.0,8,Rotational,Healthy,,10
Kimani Vidal,RB,LAC,191,60,,,247.0,7,Rotational,Healthy,,10
Oronde Gadsden II,TE,LAC,192,22,,,198.0,7,Starter,Healthy,,7
AJ Barner,TE,SEA,193,23,,,189.0,11,Starter,Questionable,,7
Jacksonville Jaguars,DST,JAC,194,9,,,172.0,7,Unknown,Healthy,,2
Calvin Ridley,WR,TEN,195,75,132,52,190.0,9,Rotational,Healthy,,10
Cameron Dicker,K,LAC,196,2,142,2,131.0,7,Starter,Healthy,,1
Ray Davis,RB,BUF,197,61,,,240.0,7,Rotational,Healthy,,10
Los Angeles Chargers,DST,LAC,198,10,151,6,171.0,7,Unknown,Healthy,,2
Ka'imi Fairbairn,K,HOU,199,3,148,3,134.0,8,Starter,Healthy,,1
Cam Little,K,JAC,200,4,159,9,149.0,7,Starter,Healthy,,1
Baltimore Ravens,DST,BAL,201,11,,,159.0,13,Unknown,Healthy,,2
Tank Dell,WR,HOU,202,76,137,56,169.0,8,Rotational,Questionable,,10
Jason Myers,K,SEA,203,5,157,7,132.0,11,Starter,Healthy,,1
Nicholas Singleton,RB,TEN,204,62,,,243.0,9,Rotational,Healthy,,10
Gunnar Helm,TE,TEN,205,24,,,282.0,9,Starter,Healthy,,7
James Conner,RB,ARI,206,63,,,213.0,14,Rotational,Foot — has NOT taken a single 11-on-11 rep as of 8/15 (azcardinals.com); DNP HOF game or preseason Wk1,,11
Terrance Ferguson,TE,LAR,207,25,,,207.0,11,Starter,Healthy,,8
Tyler Loop,K,BAL,208,6,,,181.0,13,Starter,Healthy,,2
Geno Smith,QB,NYJ,209,28,,,379.0,13,Starter,Healthy,,8
Eddy Pineiro,K,SF,210,7,149,4,175.0,8,Starter,Healthy,,2
Kenyon Sadiq,TE,NYJ,211,26,,,165.0,13,Starter,"Hernia-surgery setback — still not playing, hopeful Wk1",,8
Kansas City Chiefs,DST,KC,212,12,,,192.0,5,Unknown,Healthy,,3
Aaron Rodgers,QB,PIT,213,29,,,220.0,9,Starter,Healthy,,8
Green Bay Packers,DST,GB,214,13,155,10,186.0,11,Unknown,Healthy,,3
Isaac TeSlaa,WR,DET,215,77,,,244.0,6,Rotational,Healthy,,11
Troy Franklin,WR,DEN,216,78,,,285.0,10,Rotational,Healthy,,11
Jake Bates,K,DET,217,8,,,166.0,6,Starter,Healthy,,2
Darnell Mooney,WR,NYG,218,79,,,265.0,8,Rotational,Healthy,,11
Rashod Bateman,WR,BAL,219,80,,,283.0,13,Backup,Healthy,,11
Cairo Santos,K,CHI,220,9,,,197.0,10,Starter,Healthy,,2
Jaydon Blue,RB,DAL,221,64,,,242.0,14,Backup,Healthy,,11
Cooper Kupp,WR,SEA,222,81,,,195.0,11,Rotational,Healthy,,11
Emanuel Wilson,RB,SEA,223,65,,,264.0,11,Rotational,Healthy,,11
Evan McPherson,K,CIN,224,10,,,193.0,6,Starter,Healthy,,2
Kaytron Allen,RB,WAS,225,66,,,254.0,7,Rotational,Healthy,,11
Harrison Mevis,K,LAR,226,11,160,10,163.0,11,Starter,Healthy,,2
Pat Freiermuth,TE,PIT,227,27,,,222.0,9,Starter,Healthy,,8
Detroit Lions,DST,DET,228,14,,,182.0,6,Unknown,Healthy,,3
Cade Otton,TE,TB,229,28,,,224.0,10,Starter,Healthy,,8
Germie Bernard,WR,PIT,230,82,,,250.0,9,Rotational,Healthy,,11
Chase McLaughlin,K,TB,231,12,,,203.0,10,Starter,Healthy,,2
Andy Borregales,K,NE,232,13,,,237.0,11,Starter,Healthy,,2
Buffalo Bills,DST,BUF,233,15,,,194.0,7,Unknown,Healthy,,3
Zachariah Branch,WR,ATL,234,83,,,235.0,11,Backup,Healthy,,11
Antonio Williams,WR,WAS,235,84,,,251.0,7,Backup,Healthy,,11
Cleveland Browns,DST,CLE,236,16,,,204.0,11,Unknown,Healthy,,3
Jaylen Wright,RB,MIA,237,67,,,261.0,6,Backup,Healthy,,11
Jack Bech,WR,LV,238,85,,,297.0,13,Rotational,Healthy,,11
Evan Engram,TE,DEN,239,29,,,356.0,10,Starter,Healthy,,8
Ja'Kobi Lane,WR,BAL,240,86,,,174.0,13,Rotational,Healthy,,11
Justice Hill,RB,BAL,241,68,139,48,232.0,13,Backup,Healthy,,11
David Njoku,TE,LAC,242,30,,,210.0,7,Backup,Healthy,,8
George Holani,RB,SEA,243,69,,,275.0,11,Starter,Healthy,,11
Malachi Fields,WR,NYG,244,87,,,221.0,8,Rotational,Healthy,,11
Greg Dulcich,TE,MIA,245,31,,,216.0,6,Starter,Healthy,,8
Harrison Butker,K,KC,246,14,156,6,184.0,5,Starter,Healthy,,2
Ollie Gordon II,RB,MIA,247,70,,,304.0,6,Rotational,Healthy,,11
Keon Coleman,WR,BUF,248,88,,,260.0,7,Rotational,Healthy,,11
Fernando Mendoza,QB,LV,249,30,,,211.0,13,Starter,Healthy,,8
Devaughn Vele,WR,NO,250,89,,,271.0,8,Rotational,Healthy,,11
Chimere Dike,WR,TEN,251,90,,,334.0,9,Rotational,Healthy,,11
Chris Boswell,K,PIT,252,15,150,5,209.0,9,Starter,Healthy,,2
Chris Bell,WR,MIA,253,91,,,267.0,6,Starter,PUP,,11
Ted Hurst III,WR,TB,254,92,,,286.0,10,Rotational,Healthy,,11
Isaiah Davis,RB,NYJ,255,71,,,541.0,13,Rotational,Knee — DNP preseason Wk1,,12
Kaelon Black,RB,SF,256,72,,,227.0,8,Rotational,Healthy,,12
Elic Ayomanor,WR,TEN,257,93,,,310.0,9,Rotational,Healthy,,12
Demond Claiborne,RB,MIN,258,73,,,263.0,6,Rotational,Healthy,,12
Tua Tagovailoa,QB,ATL,259,31,,,290.0,11,Backup,Healthy,,9
Caleb Douglas,WR,MIA,260,94,,,214.0,6,Rotational,Questionable,,12
Colby Parkinson,TE,LAR,261,32,,,301.0,11,Backup,Healthy,,9
Najee Harris,RB,NYG,262,74,,,257.0,8,Unknown,Questionable,,12
Tory Horton,WR,SEA,263,95,,,300.0,11,Rotational,Questionable,,12
LeQuint Allen Jr.,RB,JAC,264,75,,,400.0,7,Rotational,Healthy,,12
Ty Johnson,RB,BUF,265,76,,,320.0,7,Backup,Healthy,,12
Will Reichard,K,MIN,266,16,158,8,188.0,6,Starter,Healthy,,3
Samaje Perine,RB,CIN,267,77,,,287.0,6,Backup,Healthy,,12
Christian Kirk,WR,SF,268,96,,,234.0,8,Rotational,Questionable,,12
Tyquan Thornton,WR,KC,269,97,,,426.0,5,Rotational,Healthy,,12
Elijah Sarratt,WR,BAL,270,98,,,342.0,13,Rotational,Healthy,,12
Wil Lutz,K,DEN,271,17,,,212.0,10,Starter,Healthy,,3
Darius Slayton,WR,NYG,272,99,,,437.0,8,Backup,Questionable,,12
Jordan James,RB,SF,273,78,,,241.0,8,Backup,Healthy,,12
Chris Brooks,RB,GB,274,79,,,398.0,11,Rotational,Healthy,,12
Mason Taylor,TE,NYJ,275,33,,,289.0,13,Backup,Healthy,,9
Xavier Legette,WR,CAR,276,100,,,440.0,5,Rotational,Healthy,,12
Cyrus Allen,WR,KC,277,101,,,202.0,5,Rotational,Healthy,,12
Michael Penix Jr.,QB,ATL,278,32,,,288.0,11,Starter,Questionable,,9
Marvin Mims Jr.,WR,DEN,279,102,,,295.0,10,Rotational,"Undisclosed — left practice early, DNP preseason Wk1",,12
Theo Johnson,TE,NYG,280,34,,,324.0,8,Backup,Healthy,,9
Kirk Cousins,QB,LV,281,33,,,299.0,13,Backup,Healthy,,9
San Francisco 49ers,DST,SF,282,17,,,217.0,8,Unknown,Healthy,,4
Eli Stowers,TE,PHI,283,35,,,269.0,10,Backup,Questionable,,9
DJ Giddens,RB,IND,284,80,,,303.0,13,Backup,Healthy,,12
Deshaun Watson,QB,CLE,285,34,,,388.0,11,Backup,Healthy,,9
Shedeur Sanders,QB,CLE,286,35,,,256.0,11,Starter,Healthy,,9
Atlanta Falcons,DST,ATL,287,18,,,245.0,11,Unknown,Healthy,,4
New Orleans Saints,DST,NO,288,19,,,228.0,8,Unknown,Healthy,,4
Trey Benson,RB,FA,289,81,,,323.0,,Rotational,Healthy,,12
Brashard Smith,RB,KC,290,82,,,322.0,5,Backup,Healthy,,12
Malik Davis,RB,DAL,291,83,,,327.0,14,Rotational,Healthy,,12
Devin Neal,RB,NO,292,84,,,343.0,8,Rotational,Questionable,,12
Seth McGowan,RB,IND,293,85,,,548.0,13,Rotational,Healthy,,12
Kendre Miller,RB,NO,294,86,,,321.0,8,Rotational,Questionable,,12
Hollywood Brown,WR,PHI,295,103,,,317.0,10,Unknown,Healthy,,12
Devin Singletary,RB,NYG,296,87,,,306.0,8,Rotational,Healthy,,12
Adam Randall,RB,BAL,297,88,,,333.0,13,Rotational,Healthy,,12
Kyle Williams,WR,NE,298,104,,,280.0,11,Rotational,Healthy,,12
Emari Demercado,RB,KC,299,89,,,371.0,5,Rotational,Healthy,,12
Mike Gesicki,TE,CIN,300,36,,,359.0,6,Starter,Healthy,,9
Isaiah Bond,WR,CLE,301,105,,,479.0,11,Rotational,Healthy,,12
Kaleb Johnson,RB,PIT,302,90,,,273.0,9,Rotational,Healthy,,12
Mack Hollins,WR,NE,303,106,,,368.0,11,Rotational,Healthy,,12
Skyler Bell,WR,BUF,304,107,,,362.0,7,Rotational,Healthy,,12
